,s,a,r,s1
0,[ 0.99929583 -0.03752086  0.58647376],[-1.8695883],-1.1542058914712128,[ 0.49002627 -0.8717077  -0.209404  ]
1,[ 0.49002627 -0.8717077  -0.209404  ],[-0.17368996],-1.1252110065134553,[ 0.45079696 -0.8926265  -0.88923824]
2,[ 0.45079696 -0.8926265  -0.88923824],[-1.7496481],-1.29904999375759,[ 0.36776105 -0.9299203  -1.8211553 ]
3,[ 0.36776105 -0.9299203  -1.8211553 ],[1.1490585],-1.7590854311515913,[ 0.25639275 -0.9665727  -2.346237  ]
4,[ 0.25639275 -0.9665727  -2.346237  ],[-1.3129673],-2.2722597879946815,[ 0.09573593 -0.99540675 -3.2681115 ]
5,[ 0.09573593 -0.99540675 -3.2681115 ],[-1.654086],-3.2461612228663785,[-0.11698768 -0.99313337 -4.262779  ]
6,[-0.11698768 -0.99313337 -4.262779  ],[1.0781504],-4.667812561260162,[-0.35185447 -0.9360547  -4.8459067 ]
7,[-0.35185447 -0.9360547  -4.8459067 ],[-0.70791644],-6.07502538222118,[-0.5990053  -0.80074507 -5.654135  ]
8,[-0.5990053  -0.80074507 -5.654135  ],[-1.6275846],-8.097184543491196,[-0.8232996  -0.56760705 -6.4988317 ]
9,[-0.8232996  -0.56760705 -6.4988317 ],[-0.05928019],-10.664909934667664,[-0.96717596 -0.25410765 -6.9334292 ]
10,[-0.96717596 -0.25410765 -6.9334292 ],[0.7306173],-13.12908552400286,[-0.9956044   0.09365843 -7.014417  ]
11,[-0.9956044   0.09365843 -7.014417  ],[0.45096314],-14.20947348752945,[-0.90576184  0.4237871  -6.876529  ]
12,[-0.90576184  0.4237871  -6.876529  ],[0.5761485],-12.040452512399474,[-0.7239842  0.6898166 -6.4722667]
13,[-0.7239842  0.6898166 -6.4722667],[-1.8982687],-9.858726077061089,[-0.477299    0.87874097 -6.2396445 ]
14,[-0.477299    0.87874097 -6.2396445 ],[1.2609404],-8.173080255545353,[-0.22603564  0.974119   -5.3914475 ]
15,[-0.22603564  0.974119   -5.3914475 ],[1.341965],-6.144261551459189,[-0.00502786  0.99998736 -4.4595637 ]
16,[-0.00502786  0.99998736 -4.4595637 ],[0.44616967],-4.47219168317354,[ 0.17618011  0.98435795 -3.6426475 ]
17,[ 0.17618011  0.98435795 -3.6426475 ],[-1.6556408],-3.2720061796495705,[ 0.32852432  0.9444955  -3.1527252 ]
18,[ 0.32852432  0.9444955  -3.1527252 ],[-0.0065206],-2.5218010373567545,[ 0.44126454  0.8973771  -2.4453318 ]
19,[ 0.44126454  0.8973771  -2.4453318 ],[0.7844686],-1.839105988550636,[ 0.5139119  0.857843  -1.6546286]
20,[ 0.5139119  0.857843  -1.6546286],[1.3371595],-1.532421576537178,[0.2703166 0.9627715 1.640077 ]
21,[0.2703166 0.9627715 1.640077 ],[0.03544528],-1.9513886956971982,[0.15472415 0.9879577  2.3674724 ]
22,[0.15472415 0.9879577  2.3674724 ],[1.2409511],-2.5655258262044747,[-0.00938079  0.999956    3.2945833 ]
23,[-0.00938079  0.999956    3.2945833 ],[1.7026411],-3.585287117756153,[-0.22250025  0.9749326   4.299947  ]
24,[-0.22250025  0.9749326   4.299947  ],[-1.7686431],-5.074733922791747,[-0.44633964  0.8948636   4.7658496 ]
25,[-0.44633964  0.8948636   4.7658496 ],[-1.0988312],-6.407527922191379,[-0.6640925   0.74765044  5.2721725 ]
