,s,a,r,s1
0,[-0.5874659  0.       ],[-0.27807367],-0.007732496510188014,[-5.3321785e-01 -3.4758335e-04]
1,[-5.3321785e-01 -3.4758335e-04],[-0.34742662],-0.012070525844284053,[-0.53401446 -0.00079659]
2,[-0.53401446 -0.00079659],[0.97890913],-0.09582630943217652,[-0.5332646   0.00074988]
3,[-0.5332646   0.00074988],[-0.98968935],-0.09794850097571271,[-0.5339267  -0.00066217]
4,[-0.5339267  -0.00066217],[0.40732437],-0.01659131454280818,[-5.3390044e-01  2.6261519e-05]
5,[-5.3390044e-01  2.6261519e-05],[0.06907192],-0.00047709299564866473,[-5.3369331e-01  2.0711958e-04]
6,[-5.3369331e-01  2.0711958e-04],[0.37877908],-0.014347359408980598,[-0.53284234  0.00085099]
7,[-0.53284234  0.00085099],[0.84677196],-0.07170227446045488,[-0.53065187  0.00219046]
8,[-0.53065187  0.00219046],[0.6608833],-0.043676674607526424,[-0.5274172   0.00323468]
9,[-0.5274172   0.00323468],[0.05615506],-0.0003153390705946682,[-0.5240696   0.00334755]
10,[-0.5240696   0.00334755],[0.6164991],-0.038007117230634796,[-0.51979375  0.00427583]
11,[-0.51979375  0.00427583],[0.57184327],-0.032700472142666116,[-0.5146887   0.00510506]
12,[-0.5146887   0.00510506],[0.12243441],-0.0014990185957584113,[-0.50946677  0.00522189]
13,[-0.50946677  0.00522189],[-0.5497962],-0.03022758875292908,[-0.50517553  0.00429124]
14,[-0.50517553  0.00429124],[-0.03802377],-0.00014458067907248268,[-0.50107944  0.0040961 ]
15,[-0.50107944  0.0040961 ],[0.271683],-0.007381165655267897,[-0.49674457  0.00433486]
16,[-0.49674457  0.00433486],[-0.05116537],-0.0002617894924322753,[-0.49268764  0.00405692]
17,[-0.49268764  0.00405692],[-0.82590735],-0.06821229501009754,[-0.49010107  0.00258656]
18,[-0.49010107  0.00258656],[-0.02929269],-8.580614478839767e-05,[-0.48780927  0.00229181]
19,[-0.48780927  0.00229181],[0.08012885],-0.0006420632370382151,[-0.48566517  0.0021441 ]
20,[-0.48566517  0.0021441 ],[-0.3690838],-0.013622284549584496,[-0.48435858  0.00130658]
21,[-0.48435858  0.00130658],[-0.2563984],-0.006574014444798682,[-0.48373023  0.00062836]
22,[-0.48373023  0.00062836],[0.05148136],-0.00026503302943137744,[-4.8332295e-01  4.0728357e-04]
23,[-4.8332295e-01  4.0728357e-04],[0.13842408],-0.001916122691787181,[-4.8300937e-01  3.1358545e-04]
24,[-4.8300937e-01  3.1358545e-04],[-0.53906614],-0.029059229885618622,[-0.48380804 -0.00079868]
25,[-0.48380804 -0.00079868],[-0.80436265],-0.06469992802534677,[-0.486111   -0.00230295]
26,[-0.486111   -0.00230295],[-0.18885224],-0.0035665166919392147,[-0.4889778  -0.00286679]
27,[-0.4889778  -0.00286679],[-0.23238985],-0.005400504350062918,[-0.49245235 -0.00347457]
28,[-0.49245235 -0.00347457],[-0.91562414],-0.0838367568851254,[-0.49753362 -0.00508126]
29,[-0.49753362 -0.00508126],[0.31155083],-0.009706391707801833,[-0.5023428  -0.00480923]
30,[-0.5023428  -0.00480923],[0.865788],-0.07495888314044806,[-0.5060127  -0.00366986]
31,[-0.5060127  -0.00366986],[-0.9855246],-0.09712587269237397,[-0.51129264 -0.00527998]
32,[-0.51129264 -0.00527998],[0.34463072],-0.011877033194855358,[-0.516148   -0.00485531]
33,[-0.516148   -0.00485531],[0.47225586],-0.022302559333618268,[-0.52035075 -0.0042028 ]
34,[-0.52035075 -0.0042028 ],[0.43476698],-0.01890223251813703,[-0.5239258  -0.00357501]
35,[-0.5239258  -0.00357501],[0.17526683],-0.0030718462439019768,[-0.52723545 -0.00330966]
36,[-0.52723545 -0.00330966],[-0.7941219],-0.0630629625511947,[-0.531709   -0.00447356]
37,[-0.531709   -0.00447356],[0.41264617],-0.017027686527241317,[-0.5355028  -0.00379377]
38,[-0.5355028  -0.00379377],[-0.31546715],-0.009951952211032823,[-0.5396805  -0.00417771]
39,[-0.5396805  -0.00417771],[0.58385533],-0.03408870474717993,[-0.5428618  -0.00318136]
40,[-0.5428618  -0.00318136],[-0.19458175],-0.0037862056286996904,[-0.5461907  -0.00332885]
41,[-0.5461907  -0.00332885],[-0.6002543],-0.03603052213748583,[-0.5502506  -0.00405992]
