,s,a,r,s1
0,[-0.47608307 -0.8794003  -0.8293123 ],[1.4722306],-0.09159131852324692,[ 0.99262726  0.12120678 -0.49472165]
1,[ 0.99262726  0.12120678 -0.49472165],[1.6838926],-0.04207404172496119,[ 0.99351543  0.11369751 -0.15123266]
2,[ 0.99351543  0.11369751 -0.15123266],[1.5178599],-0.017574244917594958,[0.9925636  0.12172724 0.16171946]
3,[0.9925636  0.12172724 0.16171946],[-1.6864178],-0.020350615060645366,[9.92563248e-01 1.21729836e-01 5.22138107e-05]
4,[9.92563248e-01 1.21729836e-01 5.22138107e-05],[1.9317535],-0.018623600892078845,[0.99006355 0.14062051 0.3811126 ]
5,[0.99006355 0.14062051 0.3811126 ],[-0.7631456],-0.035012932143350335,[0.9872761  0.15901555 0.37210616]
6,[0.9872761  0.15901555 0.37210616],[1.4938331],-0.04157982775707596,[0.9809573  0.19422325 0.7154428 ]
7,[0.9809573  0.19422325 0.7154428 ],[-0.23341388],-0.08944710653281641,[0.97210056 0.23456444 0.82609814]
8,[0.97210056 0.23456444 0.82609814],[-1.2352287],-0.1258298606669764,[0.9617139  0.27405536 0.8167372 ]
9,[0.9617139  0.27405536 0.8167372 ],[0.94451416],-0.14466389744432218,[0.9441453  0.32952943 1.1639558 ]
10,[0.9441453  0.32952943 1.1639558 ],[-0.76348484],-0.24882730427725502,[0.92081386 0.39000234 1.2965802 ]
11,[0.92081386 0.39000234 1.2965802 ],[0.0117148],-0.32861985682685885,[0.8869136  0.46193537 1.5908391 ]
12,[0.8869136  0.46193537 1.5908391 ],[-0.04180117],-0.48364773936805255,[0.83825177 0.5452834  1.9310205 ]
13,[0.83825177 0.5452834  1.9310205 ],[-1.4895084],-0.7077168073980407,[0.77596366 0.63077766 2.1165566 ]
14,[0.77596366 0.63077766 2.1165566 ],[0.04128545],-0.9138642077026438,[0.68779695 0.72590315 2.5958328 ]
15,[0.68779695 0.72590315 2.5958328 ],[-0.7315337],-1.3342769038444258,[0.5703429 0.8214067 3.03053  ]
16,[0.5703429 0.8214067 3.03053  ],[0.6621584],-1.8479010526839073,[0.40742058 0.9132407  3.745909  ]
17,[0.40742058 0.9132407  3.745909  ],[-0.8645072],-2.7291197115531634,[0.20314577 0.9791485  4.301163  ]
18,[0.20314577 0.9791485  4.301163  ],[0.92438203],-3.7174304503052573,[-0.05411303  0.9985348   5.174182  ]
19,[-0.05411303  0.9985348   5.174182  ],[1.2299159],-5.319144960922291,[-0.3518231  0.9360665  6.1075706]
20,[-0.3518231  0.9360665  6.1075706],[-1.0843629],-7.457530932651784,[-0.63797545  0.7700567   6.646966  ]
21,[-0.63797545  0.7700567   6.646966  ],[0.99400264],-9.538845768791374,[-0.8726226   0.48839507  7.373609  ]
22,[-0.8726226   0.48839507  7.373609  ],[-1.6724641],-12.363774192042507,[-0.99079365  0.13538082  7.4890356 ]
23,[-0.99079365  0.13538082  7.4890356 ],[0.40647244],-14.643533138550143,[-0.9697042 -0.2442821  7.651542 ]
24,[-0.9697042 -0.2442821  7.651542 ],[-0.1726115],-14.234583740842199,[-0.81451637 -0.58014053  7.4424386 ]
25,[-0.81451637 -0.58014053  7.4424386 ],[-1.9138265],-11.906624195893896,[-0.5776788  -0.81626415  6.720259  ]
26,[-0.5776788  -0.81626415  6.720259  ],[1.989324],-9.301708681693832,[-0.2912748 -0.9566394  6.40646  ]
27,[-0.2912748 -0.9566394  6.40646  ],[1.5660124],-7.590007881033119,[ 6.349565e-04 -9.999998e-01  5.923882e+00]
28,[ 6.349565e-04 -9.999998e-01  5.923882e+00],[1.5096921],-5.97692380719292,[ 0.26735952 -0.9635968   5.4003363 ]
29,[ 0.26735952 -0.9635968   5.4003363 ],[-1.689673],-4.609593844467418,[ 0.4722672 -0.8814554  4.4241877]
30,[ 0.4722672 -0.8814554  4.4241877],[0.3127851],-3.121542472259892,[ 0.63062775 -0.77608544  3.8100138 ]
31,[ 0.63062775 -0.77608544  3.8100138 ],[-0.6359131],-2.2413406795074655,[ 0.74396855 -0.6682146   3.1325626 ]
32,[ 0.74396855 -0.6682146   3.1325626 ],[1.1099864],-1.5180674999466472,[ 0.8298757 -0.5579483  2.7978997]
33,[ 0.8298757 -0.5579483  2.7978997],[-1.7174261],-1.136132882935147,[ 0.8842923 -0.4669338  2.1218245]
34,[ 0.8842923 -0.4669338  2.1218245],[1.2731526],-0.6878560831503705,[ 0.9257847  -0.37805116  1.962597  ]
35,[ 0.9257847  -0.37805116  1.962597  ],[-1.1947956],-0.5369100416818031,[ 0.951507   -0.30762726  1.4998393 ]
36,[ 0.951507   -0.30762726  1.4998393 ],[-0.20524515],-0.322774191951715,[ 0.9687187  -0.24816133  1.2383322 ]
37,[ 0.9687187  -0.24816133  1.2383322 ],[-1.945605],-0.22002351030669962,[ 0.97745115 -0.21116163  0.7603704 ]
38,[ 0.97745115 -0.21116163  0.7603704 ],[0.65304357],-0.10351096838961381,[ 0.9842413  -0.17683068  0.6999557 ]
39,[ 0.9842413  -0.17683068  0.6999557 ],[0.12189671],-0.08060920944425065,[ 0.9889964  -0.14793956  0.5856172 ]
40,[ 0.9889964  -0.14793956  0.5856172 ],[-1.5882016],-0.05886480627628191,[ 0.99067616 -0.13623796  0.23643228]
41,[ 0.99067616 -0.13623796  0.23643228],[0.7266046],-0.024794743426303653,[ 0.9922598  -0.12417936  0.2432445 ]
42,[ 0.9922598  -0.12417936  0.2432445 ],[1.3006003],-0.023108784711015583,[ 0.99425524 -0.1070353   0.34520003]
43,[ 0.99425524 -0.1070353   0.34520003],[0.07908413],-0.023423136854292075,[ 0.99564123 -0.09326569  0.27678618]
44,[ 0.99564123 -0.09326569  0.27678618],[-0.39476568],-0.016540725934387886,[ 0.99630255 -0.08591428  0.14762206]
45,[ 0.99630255 -0.08591428  0.14762206],[0.67409974],-0.0100331345578209,[ 0.99705195 -0.07672977  0.1843013 ]
46,[ 0.99705195 -0.07672977  0.1843013 ],[1.4700271],-0.01145672524548743,[ 0.9982338  -0.05940736  0.34725803]
47,[ 0.9982338  -0.05940736  0.34725803],[-1.4576018],-0.01771681191167838,[ 0.9984747  -0.05521116  0.08406225]
48,[ 0.9984747  -0.05521116  0.08406225],[-0.02177062],-0.0037584947574680213,[ 0.99858147 -0.05324464  0.03938829]
