,s,a,r,s1
0,[-0.48828545  0.        ],[-0.39635146],-0.015709447718235483,[-5.9230834e-01 -8.3459789e-05]
1,[-5.9230834e-01 -8.3459789e-05],[-0.7075242],-0.050059046586808625,[-0.5929414  -0.00063307]
2,[-0.5929414  -0.00063307],[-0.2113967],-0.004468856231164864,[-5.9337527e-01 -4.3383410e-04]
3,[-5.9337527e-01 -4.3383410e-04],[0.465687],-0.021686438822034495,[-0.59259105  0.00078421]
4,[-0.59259105  0.00078421],[0.06308129],-0.0003979248750348108,[-0.59119844  0.00139258]
5,[-0.59119844  0.00139258],[0.9777815],-0.09560566120519845,[-0.58783567  0.00336279]
6,[-0.58783567  0.00336279],[-0.84814703],-0.07193533923772436,[-0.5852663   0.00256937]
7,[-0.5852663   0.00256937],[0.2958112],-0.008750426965573955,[-0.5817933   0.00347295]
8,[-0.5817933   0.00347295],[-0.9132599],-0.08340436877946936,[-0.579256    0.00253731]
9,[-0.579256    0.00253731],[-0.24591272],-0.006047306378851958,[-0.5766721   0.00258393]
10,[-0.5766721   0.00258393],[-0.16414629],-0.0026944004267779546,[-0.573938    0.00273408]
11,[-0.573938    0.00273408],[-0.20375437],-0.004151584143756182,[-0.57113343  0.00280456]
12,[-0.57113343  0.00280456],[-0.5490132],-0.030141549094355825,[-0.5687971   0.00233635]
13,[-0.5687971   0.00233635],[-0.52755785],-0.027831728497426413,[-0.56691414  0.00188296]
14,[-0.56691414  0.00188296],[0.9166736],-0.08402904901720412,[-0.5633322   0.00358192]
15,[-0.5633322   0.00358192],[-0.31721726],-0.010062679042202038,[-0.55992883  0.00340339]
16,[-0.55992883  0.00340339],[0.83209723],-0.06923858040708275,[-0.5550054   0.00492347]
17,[-0.5550054   0.00492347],[-0.45348188],-0.02056458180374401,[-0.5505269   0.00447845]
18,[-0.5505269   0.00447845],[-0.11940011],-0.0014256385401274553,[-0.5460258   0.00450109]
19,[-0.5460258   0.00450109],[0.7141049],-0.0509945795097849,[-0.54028547  0.00574033]
20,[-0.54028547  0.00574033],[0.21401015],-0.004580034397793842,[-0.53409904  0.00618644]
21,[-0.53409904  0.00618644],[0.18475099],-0.0034132927965844443,[-0.5275567  0.0065423]
22,[-0.5275567  0.0065423],[-0.6296786],-0.039649514809708825,[-0.52192926  0.00562747]
