,s,a,r,s1
0,[ 0.6813877 -0.7319226  0.6162582],[-0.6675689],-4.879870216459323,[-0.63643897 -0.7713271  -1.1086655 ]
1,[-0.63643897 -0.7713271  -1.1086655 ],[1.5112056],-5.235821755429349,[-0.6910181  -0.72283745 -1.46048   ]
2,[-0.6910181  -0.72283745 -1.46048   ],[0.2255689],-5.659473812773955,[-0.75871307 -0.651425   -1.9687726 ]
3,[-0.75871307 -0.651425   -1.9687726 ],[-0.6929005],-6.303350709017265,[-0.8356961  -0.54919213 -2.5612764 ]
4,[-0.8356961  -0.54919213 -2.5612764 ],[-0.8433088],-7.211325377893427,[-0.91045487 -0.4136085  -3.0996668 ]
5,[-0.91045487 -0.4136085  -3.0996668 ],[-0.664879],-8.333431174819056,[-0.96868104 -0.24830848 -3.5096052 ]
6,[-0.96868104 -0.24830848 -3.5096052 ],[0.73922974],-9.588188734205499,[-0.99743164 -0.07162467 -3.584952  ]
7,[-0.99743164 -0.07162467 -3.584952  ],[-0.68082666],-10.709978167013015,[-0.99335414  0.11509802 -3.7407944 ]
8,[-0.99335414  0.11509802 -3.7407944 ],[1.211818],-10.558945214328334,[-0.9585326  0.2849829 -3.4726982]
9,[-0.9585326  0.2849829 -3.4726982],[-0.01746253],-9.343313595651168,[-0.89954585  0.43682638 -3.2615805 ]
10,[-0.89954585  0.43682638 -3.2615805 ],[1.3392022],-8.299129132599916,[-0.8316512  0.5552983 -2.7330804]
11,[-0.8316512  0.5552983 -2.7330804],[-0.16407087],-7.2641502018190955,[-0.7611042  0.6486296 -2.3412173]
12,[-0.7611042  0.6486296 -2.3412173],[1.126008],-6.482568841239414,[-0.7037923  0.7104058 -1.6858438]
13,[-0.7037923  0.7104058 -1.6858438],[0.82243186],-5.814520074853152,[-0.66630155  0.7456824  -1.0296748 ]
14,[-0.66630155  0.7456824  -1.0296748 ],[0.8664885],-5.396931241933802,[-0.65351266  0.7569156  -0.34043965]
15,[-0.65351266  0.7569156  -0.34043965],[0.482011],-5.223967152140852,[-0.66477555  0.74704313  0.29954872]
16,[-0.66477555  0.74704313  0.29954872],[-0.02210773],-5.289729997374097,[-0.69614893  0.71789736  0.85651493]
17,[-0.69614893  0.71789736  0.85651493],[1.088199],-5.5539628072457665,[-0.74991095  0.6615388   1.5581678 ]
18,[-0.74991095  0.6615388   1.5581678 ],[-0.09897257],-6.09302337091895,[-0.81335807  0.5817634   2.039476  ]
19,[-0.81335807  0.5817634   2.039476  ],[0.18190464],-6.769895772843404,[-0.87961656  0.47568342  2.5030842 ]
20,[-0.87961656  0.47568342  2.5030842 ],[0.589305],-7.627422210774893,[-0.9399445   0.34132737  2.9482424 ]
21,[-0.9399445   0.34132737  2.9482424 ],[1.0109499],-8.672558917570722,[-0.98374784  0.17955558  3.3558805 ]
22,[-0.98374784  0.17955558  3.3558805 ],[-0.7616775],-9.894637905293338,[-0.99993134  0.01171963  3.3762956 ]
23,[-0.99993134  0.01171963  3.3762956 ],[-1.216045],-10.937519428220503,[-0.9890068  -0.14786978  3.2026784 ]
24,[-0.9890068  -0.14786978  3.2026784 ],[0.7431407],-9.985385523036433,[-0.9527669 -0.3037026  3.2032473]
25,[-0.9527669 -0.3037026  3.2032473],[-1.7124798],-9.054993040857813,[-0.9028231  -0.43001223  2.7185984 ]
26,[-0.9028231  -0.43001223  2.7185984 ],[-1.3166074],-8.015085892095211,[-0.8501974  -0.52646405  2.1985981 ]
27,[-0.8501974  -0.52646405  2.1985981 ],[1.5081711],-7.17903634586562,[-0.792478  -0.6099005  2.0299757]
28,[-0.792478  -0.6099005  2.0299757],[1.9774019],-6.594484182924243,[-0.73210245 -0.68119454  1.8691607 ]
29,[-0.73210245 -0.68119454  1.8691607 ],[-1.7337623],-6.075001053813145,[-0.6936134 -0.7203474  1.0982004]
30,[-0.6936134 -0.7203474  1.0982004],[-1.8317021],-5.586882158955201,[-0.68334466 -0.7300959   0.28318456]
31,[-0.68334466 -0.7300959   0.28318456],[1.1030021],-5.4061706238184,[-0.686948   -0.72670656 -0.09893707]
32,[-0.686948   -0.72670656 -0.09893707],[0.9869168],-5.421896363142535,[-0.7047547  -0.709451   -0.49592948]
33,[-0.7047547  -0.709451   -0.49592948],[0.2644052],-5.5606791007304395,[-0.73893964 -0.6737716  -0.988357  ]
34,[-0.73893964 -0.6737716  -0.988357  ],[-0.23268364],-5.868743721693677,[-0.7882283  -0.61538297 -1.5285883 ]
35,[-0.7882283  -0.61538297 -1.5285883 ],[-1.9630864],-6.381569467365921,[-0.8532334  -0.52152926 -2.2845883 ]
36,[-0.8532334  -0.52152926 -2.2845883 ],[1.203278],-7.2467739421047765,[-0.9114999  -0.41130024 -2.4952438 ]
37,[-0.9114999  -0.41130024 -2.4952438 ],[0.31121475],-8.008682501764186,[-0.95937204 -0.2821441  -2.7570367 ]
38,[-0.95937204 -0.2821441  -2.7570367 ],[1.0681119],-8.915513964402798,[-0.989418  -0.1450929 -2.808428 ]
39,[-0.989418  -0.1450929 -2.808428 ],[0.94339705],-9.765547587700945,[-0.99997675 -0.00681991 -2.775738  ]
40,[-0.99997675 -0.00681991 -2.775738  ],[1.771021],-10.600408516900366,[-0.99293494  0.11865979 -2.5152    ]
41,[-0.99293494  0.11865979 -2.5152    ],[1.0851325],-9.770229427773238,[-0.9731828   0.23003319 -2.2634351 ]
42,[-0.9731828   0.23003319 -2.2634351 ],[0.4355418],-8.977582476519192,[-0.9449382   0.32724893 -2.025579  ]
43,[-0.9449382   0.32724893 -2.025579  ],[0.2985575],-8.2963841726229,[-0.91302425  0.4079053  -1.7353586 ]
44,[-0.91302425  0.4079053  -1.7353586 ],[-0.92555296],-7.708206557149413,[-0.8782664   0.47817168 -1.5682626 ]
45,[-0.8782664   0.47817168 -1.5682626 ],[-0.6548496],-7.231932837952979,[-0.84514236  0.53454125 -1.3078613 ]
46,[-0.84514236  0.53454125 -1.3078613 ],[-1.0721533],-6.8163646678445895,[-0.8154132  0.5788794 -1.0677783]
47,[-0.8154132  0.5788794 -1.0677783],[-1.4160452],-6.487802151753381,[-0.7902037  0.6128443 -0.8460255]
48,[-0.7902037  0.6128443 -0.8460255],[1.911556],-6.235244223427066,[-0.78714013  0.6167742  -0.0996589 ]
49,[-0.78714013  0.6167742  -0.0996589 ],[1.0709554],-6.137444504291838,[-0.80301464  0.5959593   0.52356505]
50,[-0.80301464  0.5959593   0.52356505],[-1.9798498],-6.2970062104921,[-0.8226261   0.56858265  0.6735571 ]
51,[-0.8226261   0.56858265  0.6735571 ],[-1.3614973],-6.482630442653272,[-0.8472586  0.5311806  0.8957695]
52,[-0.8472586  0.5311806  0.8957695],[0.9179858],-6.745737624732825,[-0.88308436  0.46921423  1.4318528 ]
53,[-0.88308436  0.46921423  1.4318528 ],[-1.2814144],-7.246089424193452,[-0.91758925  0.39752978  1.5915513 ]
54,[-0.91758925  0.39752978  1.5915513 ],[-0.68419284],-7.721800536773334,[-0.9494021   0.31406316  1.7870698 ]
55,[-0.9494021   0.31406316  1.7870698 ],[0.42773616],-8.283922649749416,[-0.9769485   0.21347526  2.0867774 ]
56,[-0.9769485   0.21347526  2.0867774 ],[-1.5555574],-9.002062551592926,[-0.9934574  0.1142036  2.0135503]
57,[-0.9934574  0.1142036  2.0135503],[0.25012085],-9.569073608585397,[-0.999971    0.00761719  2.1367211 ]
58,[-0.999971    0.00761719  2.1367211 ],[-0.78934693],-10.278982583910729,[-0.9956242 -0.0934478  2.024032 ]
59,[-0.9956242 -0.0934478  2.024032 ],[-0.7421906],-9.700576094500612,[-0.9828044  -0.18464951  1.8426176 ]
60,[-0.9828044  -0.18464951  1.8426176 ],[1.0323567],-9.07780111442546,[-0.9614237  -0.27507183  1.858984  ]
61,[-0.9614237  -0.27507183  1.858984  ],[0.20187944],-8.541980958244238,[-0.93490237 -0.35490507  1.6829621 ]
62,[-0.93490237 -0.35490507  1.6829621 ],[1.4200206],-8.00687157968569,[-0.90291095 -0.4298276   1.6297864 ]
63,[-0.90291095 -0.4298276   1.6297864 ],[0.51343],-7.541261677257403,[-0.87101907 -0.4912492   1.3844302 ]
64,[-0.87101907 -0.4912492   1.3844302 ],[0.79535276],-7.099045533530616,[-0.84174544 -0.5398746   1.1352961 ]
65,[-0.84174544 -0.5398746   1.1352961 ],[-1.2551665],-6.742071996759006,[-0.82680434 -0.5624897   0.5421152 ]
66,[-0.82680434 -0.5624897   0.5421152 ],[0.9602088],-6.503258109629357,[-0.81929964 -0.5733656   0.26427925]
67,[-0.81929964 -0.5733656   0.26427925],[0.951763],-6.413774139211737,[-0.8199579  -0.5724238  -0.02298049]
68,[-0.8199579  -0.5724238  -0.02298049],[0.18375008],-6.411788156725998,[-0.83192855 -0.55488276 -0.42473584]
69,[-0.83192855 -0.55488276 -0.42473584],[-1.1960183],-6.539171899020264,[-0.8591413 -0.5117384 -1.0203007]
70,[-0.8591413 -0.5117384 -1.0203007],[0.01732807],-6.886926146490115,[-0.89286363 -0.4503272  -1.4015054 ]
71,[-0.89286363 -0.4503272  -1.4015054 ],[0.4585248],-7.349373022346111,[-0.92732024 -0.37426883 -1.670472  ]
72,[-0.92732024 -0.37426883 -1.670472  ],[-0.52639717],-7.88580321355256,[-0.9604726 -0.2783747 -2.0301332]
73,[-0.9604726 -0.2783747 -2.0301332],[1.966903],-8.592702414050096,[-0.98295325 -0.18385568 -1.9438788 ]
74,[-0.98295325 -0.18385568 -1.9438788 ],[0.27054957],-9.11992636302925,[-0.99657005 -0.08275342 -2.041188  ]
75,[-0.99657005 -0.08275342 -2.041188  ],[1.7333316],-9.775567174229675,[-0.9999566   0.00931437 -1.8432534 ]
76,[-0.9999566   0.00931437 -1.8432534 ],[-1.2192924],-10.152411368062136,[-0.9939261   0.11004923 -2.0191615 ]
77,[-0.9939261   0.11004923 -2.0191615 ],[-0.56736594],-9.59692459155112,[-0.9777467  0.2097889 -2.0217295]
78,[-0.9777467  0.2097889 -2.0217295],[-0.01073932],-8.995008059481668,[-0.9539493   0.29996789 -1.8659986 ]
79,[-0.9539493   0.29996789 -1.8659986 ],[1.9959197],-8.400371423977251,[-0.9316965  0.3632378 -1.3416348]
80,[-0.9316965  0.3632378 -1.3416348],[1.5035214],-7.854338661720798,[-0.91554934  0.40220562 -0.84367824]
81,[-0.91554934  0.40220562 -0.84367824],[-0.15148705],-7.511375040478985,[-0.9038287   0.42789453 -0.5647471 ]
82,[-0.9038287   0.42789453 -0.5647471 ],[-1.4243664],-7.320848637864342,[-0.8938054   0.44845504 -0.45748112]
83,[-0.8938054   0.44845504 -0.45748112],[1.351653],-7.186711121632058,[-0.89562786  0.44480422  0.08160809]
84,[-0.89562786  0.44480422  0.08160809],[-0.14978737],-7.18650319909415,[-0.9041893   0.427132    0.39274314]
85,[-0.9041893   0.427132    0.39274314],[0.44638848],-7.307104553666491,[-0.92015666  0.39155045  0.7800504 ]
